,id,num_stations,qos,overlapping_neighbourhood,overlapping_citizen,not_service_neighbourhood,not_service_citizen
count,65.0,65.0,65.0,65.0,65.0,65.0,65.0
mean,32.0,34.0,1243829.9538461538,40.43076923076923,193199.83076923076,311.89230769230767,423984.3076923077
std,18.907670401189037,18.907670401189037,391161.2625594155,27.88535078605859,124954.3310998524,21.553076257319887,56457.66568243941
min,0.0,2.0,175962.0,0.0,0.0,283.0,353359.0
25%,16.0,18.0,1071227.0,11.0,58718.0,294.0,375294.0
50%,32.0,34.0,1321451.0,40.0,203929.0,310.0,424579.0
75%,48.0,50.0,1550186.0,67.0,320883.0,327.0,467096.0
max,64.0,66.0,1670029.0,84.0,356295.0,357.0,542540.0
